10;;8;bits
10;;16;bits
14;;24;bits
15;;32;bits
16;;40;bits
16;;48;bits
17;;56;bits
19;;64;bits
20;;72;bits
30;;80;bits
35;;88;bits
38;;96;bits
42;;104;bits
47;;112;bits
49;;120;bits
51;;128;bits
52;;136;bits
53;;144;bits
57;;152;bits
58;;160;bits
61;;168;bits
65;;176;bits
66;;184;bits
68;;192;bits
72;;200;bits
72;;208;bits
84;;216;bits
91;;224;bits
93;;232;bits
100;;240;bits
105;;248;bits
115;;256;bits
127;;264;bits
150;;272;bits
152;;280;bits
158;;288;bits
160;;296;bits
180;;304;bits
193;;312;bits
194;;320;bits
202;;328;bits
211;;336;bits
213;;344;bits
218;;352;bits
220;;360;bits
229;;368;bits
232;;376;bits
234;;384;bits
238;;392;bits
240;;400;bits
241;;408;bits
255;;416;bits
258;;424;bits
263;;432;bits
287;;440;bits
297;;448;bits
298;;456;bits
316;;464;bits
317;;472;bits
345;;480;bits
354;;488;bits
363;;496;bits
364;;504;bits
378;;512;bits
382;;520;bits
389;;528;bits
409;;536;bits
409;;544;bits
409;;552;bits
420;;560;bits
425;;568;bits
431;;576;bits
453;;584;bits
459;;592;bits
459;;600;bits
468;;608;bits
474;;616;bits
479;;624;bits
482;;632;bits
488;;640;bits
502;;648;bits
503;;656;bits
510;;664;bits
561;;672;bits
565;;680;bits
577;;688;bits
579;;696;bits
579;;704;bits
586;;712;bits
588;;720;bits
607;;728;bits
617;;736;bits
626;;744;bits
627;;752;bits
640;;760;bits
647;;768;bits
661;;776;bits
663;;784;bits
674;;792;bits
675;;800;bits
678;;808;bits
679;;816;bits
710;;824;bits
718;;832;bits
718;;840;bits
719;;848;bits
730;;856;bits
736;;864;bits
748;;872;bits
778;;880;bits
781;;888;bits
785;;896;bits
795;;904;bits
795;;912;bits
797;;920;bits
799;;928;bits
828;;936;bits
828;;944;bits
853;;952;bits
855;;960;bits
858;;968;bits
873;;976;bits
877;;984;bits
897;;992;bits
907;;1000;bits
938;;1008;bits
982;;1016;bits
988;;1024;bits





















































































































































